allocation_level,reviewer_packet,reviewer_name,archive,model,sample_documents,documents_with_annotation_data,documents_usable_for_rate_analysis,reviewed_modernised_tokens,median_modernised_tokens,archives_represented,reviewers_represented,models_represented
model_total,,,,GPT OSS 120B · 8 000 TPM,42,42,42,11652,275.0,24,9,1
model_total,,,,Llama 3.3 70B · 12 000 TPM,138,138,138,42507,284.5,45,9,1
reviewer_by_model,1,Javier,,GPT OSS 120B · 8 000 TPM,5,5,5,1229,180.0,5,1,1
reviewer_by_model,1,Javier,,Llama 3.3 70B · 12 000 TPM,15,15,15,4748,306.0,11,1,1
reviewer_by_model,2,Paco,,GPT OSS 120B · 8 000 TPM,6,6,6,1706,288.0,6,1,1
reviewer_by_model,2,Paco,,Llama 3.3 70B · 12 000 TPM,14,14,14,3697,226.5,13,1,1
reviewer_by_model,3,Adriana,,GPT OSS 120B · 8 000 TPM,3,3,3,431,137.0,3,1,1
reviewer_by_model,3,Adriana,,Llama 3.3 70B · 12 000 TPM,17,17,17,6630,289.0,15,1,1
reviewer_by_model,4,Arturo,,GPT OSS 120B · 8 000 TPM,2,2,2,562,281.0,2,1,1
reviewer_by_model,4,Arturo,,Llama 3.3 70B · 12 000 TPM,18,18,18,4719,235.5,17,1,1
reviewer_by_model,5,Edna,,GPT OSS 120B · 8 000 TPM,5,5,5,1330,223.0,5,1,1
reviewer_by_model,5,Edna,,Llama 3.3 70B · 12 000 TPM,15,15,15,4587,288.0,13,1,1
reviewer_by_model,6,Alba,,GPT OSS 120B · 8 000 TPM,5,5,5,2334,455.0,5,1,1
reviewer_by_model,6,Alba,,Llama 3.3 70B · 12 000 TPM,15,15,15,4281,282.0,12,1,1
reviewer_by_model,7,Paloma,,GPT OSS 120B · 8 000 TPM,7,7,7,1840,277.0,7,1,1
reviewer_by_model,7,Paloma,,Llama 3.3 70B · 12 000 TPM,13,13,13,4288,312.0,13,1,1
reviewer_by_model,8,Flor,,GPT OSS 120B · 8 000 TPM,4,4,4,591,61.0,4,1,1
reviewer_by_model,8,Flor,,Llama 3.3 70B · 12 000 TPM,16,16,16,4438,197.5,13,1,1
reviewer_by_model,9,Rodrigo,,GPT OSS 120B · 8 000 TPM,5,5,5,1629,278.0,5,1,1
reviewer_by_model,9,Rodrigo,,Llama 3.3 70B · 12 000 TPM,15,15,15,5119,327.0,14,1,1
archive_by_model,,,agi_contratacion,GPT OSS 120B · 8 000 TPM,2,2,2,317,158.5,1,2,1
archive_by_model,,,agi_contratacion,Llama 3.3 70B · 12 000 TPM,2,2,2,510,255.0,1,2,1
archive_by_model,,,agi_guadalajara,GPT OSS 120B · 8 000 TPM,2,2,2,345,172.5,1,2,1
archive_by_model,,,agi_indiferente,GPT OSS 120B · 8 000 TPM,1,1,1,191,191.0,1,1,1
archive_by_model,,,agi_indiferente,Llama 3.3 70B · 12 000 TPM,3,3,3,917,327.0,1,2,1
archive_by_model,,,agi_patronato,GPT OSS 120B · 8 000 TPM,3,3,3,845,293.0,1,3,1
archive_by_model,,,agi_patronato,Llama 3.3 70B · 12 000 TPM,2,2,2,560,280.0,1,2,1
archive_by_model,,,agn_ahhacienda,GPT OSS 120B · 8 000 TPM,2,2,2,583,291.5,1,2,1
archive_by_model,,,agn_ahhacienda,Llama 3.3 70B · 12 000 TPM,2,2,2,426,213.0,1,2,1
archive_by_model,,,agn_congregaciones,Llama 3.3 70B · 12 000 TPM,1,1,1,374,374.0,1,1,1
archive_by_model,,,agn_gralparte,GPT OSS 120B · 8 000 TPM,1,1,1,459,459.0,1,1,1
archive_by_model,,,agn_gralparte,Llama 3.3 70B · 12 000 TPM,3,3,3,822,338.0,1,3,1
archive_by_model,,,agn_hospjesus,Llama 3.3 70B · 12 000 TPM,4,4,4,1051,296.0,1,4,1
archive_by_model,,,agn_indiferentevirreinal,GPT OSS 120B · 8 000 TPM,1,1,1,137,137.0,1,1,1
archive_by_model,,,agn_indiferentevirreinal,Llama 3.3 70B · 12 000 TPM,2,2,2,404,202.0,1,2,1
archive_by_model,,,agn_indios,GPT OSS 120B · 8 000 TPM,3,3,3,1245,414.0,1,3,1
archive_by_model,,,agn_indios,Llama 3.3 70B · 12 000 TPM,1,1,1,252,252.0,1,1,1
archive_by_model,,,agn_inquisicion,GPT OSS 120B · 8 000 TPM,1,1,1,10,10.0,1,1,1
archive_by_model,,,agn_inquisicion,Llama 3.3 70B · 12 000 TPM,4,4,4,634,168.0,1,4,1
archive_by_model,,,agn_marina,GPT OSS 120B · 8 000 TPM,3,3,3,267,87.0,1,3,1
archive_by_model,,,agn_marina,Llama 3.3 70B · 12 000 TPM,2,2,2,153,76.5,1,2,1
archive_by_model,,,agn_mercedes,GPT OSS 120B · 8 000 TPM,1,1,1,455,455.0,1,1,1
archive_by_model,,,agn_realesceddup,GPT OSS 120B · 8 000 TPM,2,2,2,906,453.0,1,2,1
archive_by_model,,,agn_realesceddup,Llama 3.3 70B · 12 000 TPM,2,2,2,654,327.0,1,1,1
archive_by_model,,,agn_tierras,GPT OSS 120B · 8 000 TPM,1,1,1,177,177.0,1,1,1
archive_by_model,,,agn_tierras,Llama 3.3 70B · 12 000 TPM,2,2,2,306,153.0,1,2,1
archive_by_model,,,ags_ce,GPT OSS 120B · 8 000 TPM,1,1,1,83,83.0,1,1,1
archive_by_model,,,ags_ce,Llama 3.3 70B · 12 000 TPM,3,3,3,560,189.0,1,3,1
