priority_rank,error_category,subrule,included_assignments,rate_per_1000_tokens,documents_affected,share_of_included_assignments_pct,model_1,model_1_assignments,model_1_rate_per_1000_tokens,model_2,model_2_assignments,model_2_rate_per_1000_tokens,absolute_model_rate_difference,cumulative_assignment_share_pct
1,Abreviaturas,Expansión completa,1239,22.877084141139978,108,23.71291866028708,GPT OSS 120B · 8 000 TPM,659.0,56.556814280810165,Llama 3.3 70B · 12 000 TPM,580.0,13.644811442821183,42.91200283798898,23.71291866028708
2,Cambios,Sustitución,1006,18.574936760279915,130,19.25358851674641,GPT OSS 120B · 8 000 TPM,261.0,22.39958805355304,Llama 3.3 70B · 12 000 TPM,745.0,17.526525042934104,4.873063010618935,42.96650717703349
3,Cambios,Deleción,421,7.773407928506804,108,8.057416267942584,GPT OSS 120B · 8 000 TPM,100.0,8.582217645039478,Llama 3.3 70B · 12 000 TPM,321.0,7.551697367492412,1.0305202775470654,51.02392344497607
4,Cambios,Inserción,324,5.982385199135877,102,6.2009569377990434,GPT OSS 120B · 8 000 TPM,77.0,6.608307586680398,Llama 3.3 70B · 12 000 TPM,247.0,5.8108076316841935,0.797499954996205,57.224880382775126
5,Acentuación,No sub-rule assigned,305,5.6315663140013665,62,5.837320574162679,GPT OSS 120B · 8 000 TPM,211.0,18.1084792310333,Llama 3.3 70B · 12 000 TPM,94.0,2.211400475215847,15.897078755817454,63.0622009569378
6,Puntuación,"Coma (,)",293,5.409996491811149,54,5.607655502392345,GPT OSS 120B · 8 000 TPM,49.0,4.205286646069345,Llama 3.3 70B · 12 000 TPM,244.0,5.74023102077305,1.5349443747037048,68.66985645933015
7,Abreviaturas,No sub-rule assigned,276,5.096105910375007,48,5.282296650717703,GPT OSS 120B · 8 000 TPM,178.0,15.27634740817027,Llama 3.3 70B · 12 000 TPM,98.0,2.3055026230973725,12.970844785072899,73.95215311004785
8,Cambios,Otros,275,5.077641758525822,32,5.263157894736842,GPT OSS 120B · 8 000 TPM,112.0,9.612083762444216,Llama 3.3 70B · 12 000 TPM,163.0,3.83466252617216,5.7774212362720565,79.2153110047847
9,Filológicas - instrucciones,Regularización de i/y vocálicas,144,2.6588378662826124,29,2.755980861244019,GPT OSS 120B · 8 000 TPM,107.0,9.182972880192242,Llama 3.3 70B · 12 000 TPM,37.0,0.87044486790411,8.312528012288132,81.97129186602871
10,Filológicas - instrucciones,Regularización de labiales (b/v),139,2.5665171070366886,49,2.660287081339713,GPT OSS 120B · 8 000 TPM,70.0,6.007552351527634,Llama 3.3 70B · 12 000 TPM,69.0,1.6232620509563132,4.384290300571321,84.63157894736842
11,Puntuación,Punto (.),120,2.2156982219021772,39,2.2966507177033493,GPT OSS 120B · 8 000 TPM,67.0,5.750085822176451,Llama 3.3 70B · 12 000 TPM,53.0,1.2468534594302116,4.503232362746239,86.92822966507177
12,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",112,2.0679850071086987,42,2.1435406698564594,GPT OSS 120B · 8 000 TPM,42.0,3.604531410916581,Llama 3.3 70B · 12 000 TPM,70.0,1.6467875879266944,1.9577438229898865,89.07177033492822
13,Cambios,No sub-rule assigned,105,1.938735944164405,25,2.0095693779904304,GPT OSS 120B · 8 000 TPM,38.0,3.2612427051150017,Llama 3.3 70B · 12 000 TPM,67.0,1.5762109770155506,1.6850317280994511,91.08133971291866
14,Filológicas - mecánicas,Regularización de sibilantes,104,1.92027179231522,30,1.9904306220095696,GPT OSS 120B · 8 000 TPM,83.0,7.123240645382767,Llama 3.3 70B · 12 000 TPM,21.0,0.49403627637800834,6.629204369004759,93.07177033492823
15,Filológicas - instrucciones,Regularización de H etimológica,98,1.809486881220111,35,1.875598086124402,GPT OSS 120B · 8 000 TPM,58.0,4.977686234122897,Llama 3.3 70B · 12 000 TPM,40.0,0.9410214788152539,4.036664755307643,94.94736842105263
16,Puntuación,No sub-rule assigned,81,1.4955962997839694,22,1.5502392344497609,GPT OSS 120B · 8 000 TPM,39.0,3.3470648815653963,Llama 3.3 70B · 12 000 TPM,42.0,0.9880725527560167,2.3589923288093795,96.49760765550239
17,Filológicas - instrucciones,x sibilante → j,50,0.9232075924592404,18,0.9569377990430622,GPT OSS 120B · 8 000 TPM,44.0,3.7761757638173705,Llama 3.3 70B · 12 000 TPM,6.0,0.1411532218222881,3.6350225419950823,97.45454545454545
18,Filológicas - instrucciones,No modificar otros idiomas,38,0.7016377702690226,11,0.7272727272727273,GPT OSS 120B · 8 000 TPM,0.0,0.0,Llama 3.3 70B · 12 000 TPM,38.0,0.8939704048744913,0.8939704048744913,98.18181818181819
19,Filológicas - instrucciones,No sub-rule assigned,33,0.6093170110230987,7,0.631578947368421,GPT OSS 120B · 8 000 TPM,29.0,2.4888431170614487,Llama 3.3 70B · 12 000 TPM,4.0,0.0941021478815254,2.394740969179923,98.8133971291866
20,Filológicas - instrucciones,Regularización de la nasal palatal,12,0.2215698221902177,5,0.22966507177033493,GPT OSS 120B · 8 000 TPM,12.0,1.0298661174047374,Llama 3.3 70B · 12 000 TPM,0.0,0.0,1.0298661174047374,99.04306220095694
