summary_level,group_name,reviewed_documents,modernised_tokens,included_annotations,included_assignments,pooled_annotations_per_1000_tokens,median_document_annotation_rate,flagged_documents,flagged_documents_pct,distinct_reviewers,distinct_models,model_1,model_1_documents,model_1_tokens,model_1_annotations,model_1_rate_per_1000_tokens,model_2,model_2_documents,model_2_tokens,model_2_annotations,model_2_rate_per_1000_tokens
archive,bnf_267,3,685,185,187,270.0729927007299,348.01762114537445,2,66.66666666666666,2,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,3,685,185,270.0729927007299
archive,agn_mercedes,1,455,109,122,239.56043956043956,239.5604395604396,1,100.0,1,1,GPT OSS 120B · 8 000 TPM,1,455,109,239.56043956043956,Llama 3.3 70B · 12 000 TPM,0,0,0,
archive,bnf_112,5,1535,312,359,203.25732899022802,197.43589743589743,3,60.0,4,2,GPT OSS 120B · 8 000 TPM,4,1226,271,221.04404567699837,Llama 3.3 70B · 12 000 TPM,1,309,41,132.68608414239483
archive,bnf_032,5,1559,268,299,171.90506735086595,154.320987654321,3,60.0,5,2,GPT OSS 120B · 8 000 TPM,2,315,103,326.984126984127,Llama 3.3 70B · 12 000 TPM,3,1244,165,132.63665594855306
archive,bnf_104,2,573,90,113,157.06806282722513,148.55649576903932,1,50.0,2,2,GPT OSS 120B · 8 000 TPM,1,328,68,207.3170731707317,Llama 3.3 70B · 12 000 TPM,1,245,22,89.79591836734693
archive,agn_gralparte,4,1281,200,239,156.128024980484,117.35898041066793,1,25.0,3,2,GPT OSS 120B · 8 000 TPM,1,459,141,307.18954248366015,Llama 3.3 70B · 12 000 TPM,3,822,59,71.77615571776155
archive,bnf_075,4,1093,169,183,154.6203110704483,168.6969711333365,1,25.0,3,2,GPT OSS 120B · 8 000 TPM,1,383,37,96.60574412532637,Llama 3.3 70B · 12 000 TPM,3,710,132,185.9154929577465
archive,agi_indiferente,4,1108,146,169,131.76895306859208,128.0553800111864,1,25.0,2,2,GPT OSS 120B · 8 000 TPM,1,191,46,240.83769633507853,Llama 3.3 70B · 12 000 TPM,3,917,100,109.05125408942203
archive,agn_ahhacienda,4,1009,131,141,129.8315163528246,121.27139035636031,1,25.0,4,2,GPT OSS 120B · 8 000 TPM,2,583,88,150.94339622641508,Llama 3.3 70B · 12 000 TPM,2,426,43,100.93896713615024
archive,agi_contratacion,4,827,106,112,128.17412333736397,127.49105774144097,1,25.0,4,2,GPT OSS 120B · 8 000 TPM,2,317,38,119.87381703470032,Llama 3.3 70B · 12 000 TPM,2,510,68,133.33333333333334
archive,agn_indios,4,1497,190,205,126.92050768203073,123.09960215970446,1,25.0,3,2,GPT OSS 120B · 8 000 TPM,3,1245,167,134.13654618473896,Llama 3.3 70B · 12 000 TPM,1,252,23,91.26984126984127
archive,bnf_113,4,1434,170,187,118.54951185495119,144.75806451612902,1,25.0,3,2,GPT OSS 120B · 8 000 TPM,2,660,139,210.6060606060606,Llama 3.3 70B · 12 000 TPM,2,774,31,40.0516795865633
archive,bne_ms3047,3,1460,164,174,112.32876712328766,115.4639175257732,1,33.33333333333333,2,2,GPT OSS 120B · 8 000 TPM,2,998,159,159.3186372745491,Llama 3.3 70B · 12 000 TPM,1,462,5,10.822510822510822
archive,bnf_030,4,1185,133,161,112.23628691983123,100.20961276799176,0,0.0,4,2,GPT OSS 120B · 8 000 TPM,3,802,94,117.20698254364089,Llama 3.3 70B · 12 000 TPM,1,383,39,101.82767624020887
archive,amp_ac,2,300,31,41,103.33333333333333,95.07978723404256,0,0.0,2,2,GPT OSS 120B · 8 000 TPM,1,188,24,127.6595744680851,Llama 3.3 70B · 12 000 TPM,1,112,7,62.5
archive,agn_realesceddup,4,1560,153,175,98.07692307692308,84.1127935609541,1,25.0,2,2,GPT OSS 120B · 8 000 TPM,2,906,143,157.83664459161147,Llama 3.3 70B · 12 000 TPM,2,654,10,15.290519877675841
archive,bnf_118,5,1137,111,115,97.62532981530343,106.9182389937107,0,0.0,5,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,5,1137,111,97.62532981530343
archive,agn_hospjesus,4,1051,99,105,94.19600380589914,95.60546316932397,0,0.0,4,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,4,1051,99,94.19600380589914
archive,bnf_111,4,2092,196,213,93.69024856596559,54.520917678812424,1,25.0,3,2,GPT OSS 120B · 8 000 TPM,1,459,109,237.47276688453158,Llama 3.3 70B · 12 000 TPM,3,1633,87,53.27617881200245
archive,agn_tierras,3,483,44,61,91.09730848861284,76.08695652173914,0,0.0,3,2,GPT OSS 120B · 8 000 TPM,1,177,26,146.89265536723164,Llama 3.3 70B · 12 000 TPM,2,306,18,58.8235294117647
archive,agi_guadalajara,2,345,31,34,89.85507246376811,89.92501654046902,0,0.0,2,1,GPT OSS 120B · 8 000 TPM,2,345,31,89.85507246376811,Llama 3.3 70B · 12 000 TPM,0,0,0,
archive,bnf_116,4,666,59,71,88.58858858858859,90.39759939984995,0,0.0,3,2,GPT OSS 120B · 8 000 TPM,1,273,38,139.1941391941392,Llama 3.3 70B · 12 000 TPM,3,393,21,53.43511450381679
archive,agi_patronato,5,1405,120,141,85.40925266903915,48.632218844984806,0,0.0,4,2,GPT OSS 120B · 8 000 TPM,3,845,113,133.72781065088756,Llama 3.3 70B · 12 000 TPM,2,560,7,12.5
archive,mechoacan_yurirapundaro,2,375,30,32,80.0,123.74524056767048,0,0.0,2,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,2,375,30,80.0
archive,agn_indiferentevirreinal,3,541,36,46,66.54343807763401,50.72463768115942,0,0.0,3,2,GPT OSS 120B · 8 000 TPM,1,137,18,131.38686131386862,Llama 3.3 70B · 12 000 TPM,2,404,18,44.554455445544555
archive,uia_ms149,5,1551,101,115,65.11927788523533,53.191489361702125,0,0.0,4,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,5,1551,101,65.11927788523533
archive,ags_ce,4,643,41,46,63.76360808709176,67.3596975865077,0,0.0,4,2,GPT OSS 120B · 8 000 TPM,1,83,13,156.6265060240964,Llama 3.3 70B · 12 000 TPM,3,560,28,50.0
archive,bnf_243,4,1350,85,98,62.962962962962955,70.69805194805195,0,0.0,4,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,4,1350,85,62.962962962962955
archive,agn_marina,5,420,26,27,61.904761904761905,57.37704918032787,0,0.0,5,2,GPT OSS 120B · 8 000 TPM,3,267,17,63.67041198501873,Llama 3.3 70B · 12 000 TPM,2,153,9,58.8235294117647
archive,bnf_110,4,889,54,57,60.74240719910011,67.57970363718006,0,0.0,3,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,4,889,54,60.74240719910011
archive,bnf_264,3,2219,130,139,58.58494817485354,62.921348314606746,1,33.33333333333333,3,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,3,2219,130,58.58494817485354
archive,bnf_174,5,2947,166,176,56.32846963013234,50.31446540880504,1,20.0,4,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,5,2947,166,56.32846963013234
archive,bnf_119-148,5,1502,84,90,55.9254327563249,42.25352112676056,0,0.0,5,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,5,1502,84,55.9254327563249
archive,bnf_266,5,4195,226,336,53.87365911799762,44.38642297650131,1,20.0,4,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,5,4195,226,53.87365911799762
archive,bp_cm,5,1180,63,71,53.389830508474574,59.800664451827245,0,0.0,4,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,5,1180,63,53.389830508474574
archive,bnf_244,4,1000,52,52,52.0,46.1635537607269,0,0.0,3,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,4,1000,52,52.0
archive,utblac_gg,4,726,37,38,50.964187327823694,55.186658506731945,0,0.0,3,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,4,726,37,50.964187327823694
archive,bnf_117,5,1178,59,69,50.0848896434635,32.96703296703297,0,0.0,5,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,5,1178,59,50.0848896434635
archive,agn_inquisicion,5,644,31,32,48.13664596273292,53.09734513274336,1,20.0,5,2,GPT OSS 120B · 8 000 TPM,1,10,3,300.0,Llama 3.3 70B · 12 000 TPM,4,634,28,44.16403785488959
archive,loc_hpkraus,3,675,26,26,38.51851851851852,20.338983050847457,0,0.0,3,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,3,675,26,38.51851851851852
archive,bnf_394,3,944,35,39,37.07627118644068,41.16222760290557,0,0.0,2,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,3,944,35,37.07627118644068
archive,utblac_wbs,5,1237,43,47,34.76151980598222,6.944444444444444,0,0.0,4,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,5,1237,43,34.76151980598222
archive,utblac_eog,4,429,11,12,25.64102564102564,20.690090203746923,0,0.0,3,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,4,429,11,25.64102564102564
archive,utblac_jgi,4,814,16,19,19.656019656019655,25.51254941619932,0,0.0,3,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,4,814,16,19.656019656019655
archive,bnf_167,5,2009,29,29,14.43504230960677,9.09090909090909,0,0.0,4,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,5,2009,29,14.43504230960677
archive,bnf_283,3,1577,16,19,10.145846544071022,8.865248226950355,0,0.0,3,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,3,1577,16,10.145846544071022
archive,agn_congregaciones,1,374,3,3,8.02139037433155,8.02139037433155,0,0.0,1,1,GPT OSS 120B · 8 000 TPM,0,0,0,,Llama 3.3 70B · 12 000 TPM,1,374,3,8.02139037433155
archive_prefix_group,BNE,3,1460,164,174,112.32876712328766,115.4639175257732,1,33.33333333333333,2,2,GPT OSS 120B · 8 000 TPM,2,998,159,159.3186372745491,Llama 3.3 70B · 12 000 TPM,1,462,5,10.822510822510822
