document_family,family_type,reviewed_documents,member_documents,distinct_archives,distinct_reviewers,models_represented,modernised_tokens,included_annotations,included_assignments,pooled_annotations_per_1000_tokens,minimum_document_annotation_rate,median_document_annotation_rate,maximum_document_annotation_rate,flagged_documents,model_1,model_1_documents,model_2,model_2_documents
utblac_gg_mss_g62,repeated,4,utblac_gg_mss_g62_duplicated_03 | utblac_gg_mss_g62_duplicated_09 | utblac_gg_mss_g62_duplicated_11 | utblac_gg_mss_g62_duplicated_15,1,3,1,726,37,38,50.964187327823694,34.285714285714285,55.186658506731945,59.78260869565218,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,4
utblac_wbs_888,repeated,2,utblac_wbs_888_duplicated_1 | utblac_wbs_888_duplicated_2,1,1,1,305,2,2,6.557377049180328,0.0,3.472222222222222,6.944444444444444,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,2
BnF_267_23,singleton,1,BnF_267_23,1,1,1,226,83,85,367.2566371681416,367.2566371681416,367.2566371681416,367.2566371681416,1,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_267_03,singleton,1,BnF_267_03,1,1,1,227,79,79,348.01762114537445,348.01762114537445,348.01762114537445,348.01762114537445,1,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_032_15,singleton,1,BnF_032_15,1,1,1,12,4,5,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,1,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_032_36,singleton,1,BnF_032_36,1,1,1,303,99,105,326.73267326732673,326.7326732673268,326.7326732673268,326.7326732673268,1,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
AGN_GralParte_v006_exp617_01,singleton,1,AGN_GralParte_v006_exp617_01,1,1,1,459,141,168,307.18954248366015,307.18954248366015,307.18954248366015,307.18954248366015,1,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
AGN_Inquisicion_v1570A_exp134_fs159-160v_04,singleton,1,AGN_Inquisicion_v1570A_exp134_fs159-160v_04,1,1,1,10,3,3,300.0,300.0,300.0,300.0,1,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_112_02,singleton,1,BnF_112_02,1,1,1,290,86,108,296.551724137931,296.551724137931,296.551724137931,296.551724137931,1,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_113_22,singleton,1,BnF_113_22,1,1,1,350,88,94,251.42857142857144,251.42857142857144,251.42857142857144,251.42857142857144,1,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
AGI_INDIFERENTE_2065_N45_09,singleton,1,AGI_INDIFERENTE_2065_N45_09,1,1,1,191,46,52,240.83769633507853,240.83769633507853,240.83769633507853,240.83769633507853,1,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
AGN_Mercedes_v003_exp520,singleton,1,AGN_Mercedes_v003_exp520,1,1,1,455,109,122,239.56043956043956,239.5604395604396,239.5604395604396,239.5604395604396,1,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_112_04,singleton,1,BnF_112_04,1,1,1,277,66,72,238.26714801444044,238.26714801444044,238.26714801444044,238.26714801444044,1,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_111_20,singleton,1,BnF_111_20,1,1,1,459,109,115,237.47276688453158,237.4727668845316,237.4727668845316,237.4727668845316,1,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_075_026,singleton,1,BnF_075_026,1,1,1,202,46,50,227.72277227722773,227.72277227722773,227.72277227722773,227.72277227722773,1,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGI_CONTRATACION_1183_N8_78,singleton,1,AGI_CONTRATACION_1183_N8_78,1,1,1,137,30,30,218.97810218978103,218.97810218978103,218.97810218978103,218.97810218978103,1,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
