pattern_rank,model,error_category,subrule,normalised_annotated_text,distinct_annotations,affected_documents,affected_reviewers,affected_archives,annotations_per_1000_model_tokens,prompt_candidate,example_surface_forms,example_documents,reviewers,archives
1,Llama 3.3 70B · 12 000 TPM,Cambios,Sustitución,y,82,18,6,13,1.9290940315712706,True,Y | y,AGI_INDIFERENTE_1529_N36_07 | AGI_INDIFERENTE_1529_N8_06 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02 | BnF_032_33 | BnF_075_026,Adriana | Arturo | Flor | Paco | Paloma,agi_indiferente | agn_hospjesus | bnf_032 | bnf_075 | bnf_111
2,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,franco,28,13,7,11,2.403020940611054,True,Franco | franco,AGI_PATRONATO_182_R3_04 | AGN_AHHacienda_v268_exp046_01 | AGN_GralParte_v006_exp617_01 | AGN_IndiferenteVirreinal_caja4071_exp024_2 | AMP_AC_v021__doc026_1,Adriana | Arturo | Flor | Javier | Paco,agi_patronato | agn_ahhacienda | agn_gralparte | agn_indiferentevirreinal | amp_ac
3,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,franco,27,12,5,11,0.6351894982002965,True,Franco | franco,AGI_CONTRATACION_1089_N8_151 | AGN_AHHacienda_v268_exp046_03 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02 | AGN_Marina_v031A_exp02_fs85-92_15 | BnF_030_22,Arturo | Flor | Paco | Paloma | Rodrigo,agi_contratacion | agn_ahhacienda | agn_hospjesus | agn_marina | bnf_030
4,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,25,10,7,9,2.1455544112598695,True,dha,AGI_PATRONATO_182_R3_01 | AGI_PATRONATO_182_R3_04 | AGN_AHHacienda_v1292_exp135 | AGN_GralParte_v006_exp617_01 | AGN_Indios_v019_exp354_2,Alba | Arturo | Flor | Javier | Paco,agi_patronato | agn_ahhacienda | agn_gralparte | agn_indios | agn_realesceddup
5,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,32,9,7,8,2.7463096464126333,True,dho,AGI_PATRONATO_182_R3_01 | AGN_AHHacienda_v1292_exp135 | AGN_AHHacienda_v268_exp046_01 | AGN_GralParte_v006_exp617_01 | AGN_Indios_v019_exp354_2,Adriana | Alba | Arturo | Flor | Javier,agi_patronato | agn_ahhacienda | agn_gralparte | agn_indios | bne_ms3047
6,Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,21,9,4,8,0.49403627637800834,True,de esta,AGN_AHHacienda_v268_exp046_02 | AGN_GralParte_v006_exp617_02 | AGN_IndiferenteVirreinal_caja4071_exp024_1 | AGN_Inquisicion_v1568A_exp152_fs115-116v_01 | BnF_032_23,Adriana | Arturo | Paloma | Rodrigo,agn_ahhacienda | agn_gralparte | agn_indiferentevirreinal | agn_inquisicion | bnf_032
7,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,po,75,8,6,5,1.7644152727786013,True,Po | po,BP_CM_R494_156_2 | BnF_032_23 | BnF_111_21 | BnF_111_22 | BnF_111_27,Alba | Arturo | Flor | Javier | Paco,bnf_032 | bnf_111 | bnf_117 | bnf_267 | bp_cm
8,Llama 3.3 70B · 12 000 TPM,Cambios,Inserción,que,18,8,4,8,0.4234596654668643,True,que,AGN_AHHacienda_v268_exp046_02 | AGN_GralParte_v001_exp1020_01 | BP_CM_R481_016 | BnF_032_23 | BnF_118_03,Arturo | Edna | Paco | Paloma,agn_ahhacienda | agn_gralparte | bnf_032 | bnf_118 | bnf_119-148
9,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,juo,18,8,4,7,0.4234596654668643,True,Juo | juo,AGI_INDIFERENTE_1529_N36_07 | AGN_AHHacienda_v268_exp046_03 | BnF_032_23 | BnF_032_33 | BnF_110_13,Adriana | Alba | Arturo | Rodrigo,agi_indiferente | agn_ahhacienda | bnf_032 | bnf_110 | bnf_111
10,Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de este,12,7,2,6,0.2823064436445762,True,de este,AGN_AHHacienda_v268_exp046_02 | AGN_GralParte_v001_exp1020_01 | BnF_032_39 | BnF_075_026 | BnF_075_035,Arturo | Paloma,agn_ahhacienda | agn_gralparte | bnf_032 | bnf_075 | bnf_112
