pattern_row_id,analysis_scope,model,normalised_annotated_form,effective_error_category,effective_subrule,distinct_annotations,affected_documents,affected_reviewers,affected_archives,example_surface_forms,example_documents,reviewers,archives,all_form_annotations,rule_share_for_form,rule_share_wilson_lower_95,recurrent_across_documents_and_reviewers
1,all_models,ALL_MODELS,franco,Abreviaturas,Expansión completa,55,25,7,19,Franco | franco,BNE_ms3047_4 | AGI_CONTRATACION_1089_N8_151 | AGI_PATRONATO_182_R3_04 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02 | AGN_Marina_v031A_exp02_fs85-92_15 | BnF_030_22 | BnF_032_36 | BnF_104_2,Javier | Paco | Adriana | Arturo | Paloma | Flor | Rodrigo,bne_ms3047 | agi_contratacion | agi_patronato | agn_hospjesus | agn_marina | bnf_030 | bnf_032 | bnf_104,69,0.7971014492753623,0.6877595975522071,True
2,all_models,ALL_MODELS,y,Cambios,Sustitución,114,22,6,16,y | Y,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02 | BnF_104_2 | BnF_116_02 | BnF_117_13 | LoC_HPKraus_146_new_13 | BnF_032_33 | BnF_075_026 | BnF_075_035,Paco | Adriana | Arturo | Paloma | Flor | Rodrigo,agn_hospjesus | bnf_104 | bnf_116 | bnf_117 | loc_hpkraus | bnf_032 | bnf_075 | bnf_118,185,0.6162162162162163,0.5444518072082913,True
3,all_models,ALL_MODELS,po,Abreviaturas,Expansión completa,84,14,7,9,Po | po,BNE_ms3047_4 | BP_CM_R494_156_2 | BnF_032_36 | BnF_112_25 | BnF_267_03 | BnF_267_23 | BnF_032_23 | BnF_112_02,Javier | Paco | Arturo | Alba | Paloma | Flor | Rodrigo,bne_ms3047 | bp_cm | bnf_032 | bnf_112 | bnf_267 | bnf_117 | agn_indios | bnf_111,85,0.9882352941176471,0.9363282911750611,True
4,all_models,ALL_MODELS,dha,Abreviaturas,Expansión completa,26,11,7,10,dha,AGN_AHHacienda_v1292_exp135 | AGI_PATRONATO_182_R3_04 | BnF_032_36 | BnF_267_23 | BnF_112_02 | AGI_PATRONATO_182_R3_01 | AGN_Indios_v019_exp354_2 | AGN_RealesCedDup_v050_exp062,Javier | Paco | Arturo | Alba | Paloma | Flor | Rodrigo,agn_ahhacienda | agi_patronato | bnf_032 | bnf_267 | bnf_112 | agn_indios | agn_realesceddup | bnf_113,35,0.7428571428571429,0.5793069315616083,True
5,all_models,ALL_MODELS,dho,Abreviaturas,Expansión completa,38,11,7,10,dho,AGN_AHHacienda_v1292_exp135 | BNE_ms3047_4 | AGI_CONTRATACION_1089_N8_151 | BnF_032_36 | BnF_267_23 | AGN_AHHacienda_v268_exp046_01 | BnF_112_02 | AGI_PATRONATO_182_R3_01,Javier | Paco | Adriana | Arturo | Alba | Flor | Rodrigo,agn_ahhacienda | bne_ms3047 | agi_contratacion | bnf_032 | bnf_267 | bnf_112 | agi_patronato | agn_indios,60,0.6333333333333333,0.5068300063010303,True
6,all_models,ALL_MODELS,juo,Abreviaturas,Expansión completa,20,10,5,9,Juo | juo,BNE_ms3047_4 | BnF_032_33 | BnF_110_13 | Mechoacan_Yurirapundaro_1 | AGN_AHHacienda_v268_exp046_03 | BnF_032_23 | BnF_111_27 | AGI_INDIFERENTE_1529_N36_07,Javier | Adriana | Arturo | Alba | Rodrigo,bne_ms3047 | bnf_032 | bnf_110 | mechoacan_yurirapundaro | agn_ahhacienda | bnf_111 | agi_indiferente | agn_gralparte,23,0.8695652173913043,0.6787251772990404,True
7,all_models,ALL_MODELS,de esta,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",21,9,4,8,de esta,Mechoacan_Yurirapundaro_1 | BnF_032_23 | UIA_Ms149_Exp2_51 | AGN_AHHacienda_v268_exp046_02 | BnF_032_39 | BnF_112_08 | AGN_GralParte_v006_exp617_02 | AGN_IndiferenteVirreinal_caja4071_exp024_1,Adriana | Arturo | Paloma | Rodrigo,mechoacan_yurirapundaro | bnf_032 | uia_ms149 | agn_ahhacienda | bnf_112 | agn_gralparte | agn_indiferentevirreinal | agn_inquisicion,21,1.0,0.8453609810751531,True
8,all_models,ALL_MODELS,que,Cambios,Inserción,18,8,4,8,que,UIA_Ms149_Exp3_43 | BP_CM_R481_016 | BnF_032_23 | BnF_244_03 | BnF_119-148_13 | AGN_AHHacienda_v268_exp046_02 | AGN_GralParte_v001_exp1020_01 | BnF_118_03,Paco | Arturo | Edna | Paloma,uia_ms149 | bp_cm | bnf_032 | bnf_244 | bnf_119-148 | agn_ahhacienda | agn_gralparte | bnf_118,33,0.5454545454545454,0.37985938536217456,True
9,all_models,ALL_MODELS,yndio,Filológicas - instrucciones,Regularización de i/y vocálicas,10,7,6,5,yndio,BnF_032_33 | BnF_112_02 | BnF_112_23 | BnF_104_3 | BnF_112_04 | BnF_113_22 | BnF_111_20,Adriana | Arturo | Edna | Alba | Paloma | Flor,bnf_032 | bnf_112 | bnf_104 | bnf_113 | bnf_111,10,1.0,0.7224672001371106,True
10,all_models,ALL_MODELS,q,Abreviaturas,Expansión completa,42,7,5,6,q,AGI_CONTRATACION_1089_N8_151 | BnF_032_36 | BnF_113_04 | AGN_Indios_v019_exp354_2 | BnF_113_22 | BnF_111_20 | AGN_GralParte_v006_exp617_01,Paco | Alba | Paloma | Flor | Rodrigo,agi_contratacion | bnf_032 | bnf_113 | agn_indios | bnf_111 | agn_gralparte,56,0.75,0.6230735785233251,True
11,all_models,ALL_MODELS,el,Acentuación,No sub-rule assigned,8,7,4,7,el,Mechoacan_Yurirapundaro_1 | BnF_112_02 | BnF_117_03 | AGN_Marina_v004_exp006_005 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05 | AMP_AC_v021__doc026_1 | BNE_ms3047_1,Adriana | Arturo | Edna | Rodrigo,mechoacan_yurirapundaro | bnf_112 | bnf_117 | agn_marina | agn_hospjesus | amp_ac | bne_ms3047,17,0.47058823529411764,0.26165106442409436,True
12,all_models,ALL_MODELS,franco,Abreviaturas,No sub-rule assigned,11,7,3,6,Franco | franco,AGI_GUADALAJARA_230_L2_F_45V-46V_1 | BnF_030_21 | BnF_112_23 | BnF_113_22 | BnF_113_43 | BnF_174_04 | AGN_HospJesus_c205_exp041_04,Edna | Paloma | Flor,agi_guadalajara | bnf_030 | bnf_112 | bnf_113 | bnf_174 | agn_hospjesus,69,0.15942028985507245,0.09141824277768035,True
13,all_models,ALL_MODELS,de este,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",12,7,2,6,de este,BnF_075_026 | BnF_075_035 | utblac_wbs_0912a_duplicated | AGN_AHHacienda_v268_exp046_02 | AGN_GralParte_v001_exp1020_01 | BnF_032_39 | BnF_112_08,Arturo | Paloma,bnf_075 | utblac_wbs | agn_ahhacienda | agn_gralparte | bnf_032 | bnf_112,16,0.75,0.5050168346449122,True
14,all_models,ALL_MODELS,do,Abreviaturas,Expansión completa,19,6,6,6,do,AGN_AHHacienda_v1292_exp135 | BnF_104_2 | BnF_112_02 | AGN_Tierras_v039-2_exp003_72 | BnF_075_014 | AMP_AC_v021__doc026_1,Javier | Paco | Arturo | Edna | Alba | Rodrigo,agn_ahhacienda | bnf_104 | bnf_112 | agn_tierras | bnf_075 | amp_ac,24,0.7916666666666666,0.5952954674681135,True
15,all_models,ALL_MODELS,sor,Abreviaturas,Expansión completa,12,6,5,5,Sor | sor,BnF_174_02 | BnF_117_13 | AGN_RealesCedDup_v030_exp874 | AGN_RealesCedDup_v050_exp062 | BnF_112_04 | BnF_113_25,Javier | Paco | Alba | Paloma | Flor,bnf_174 | bnf_117 | agn_realesceddup | bnf_112 | bnf_113,15,0.8,0.5481455128483065,True
16,all_models,ALL_MODELS,dos,Cambios,Sustitución,9,6,5,6,dos,AGN_Marina_v004_exp006_014 | BnF_104_2 | BnF_112_25 | AGN_Indios_v009_exp003_fs4v-5_01 | AGI_GUADALAJARA_230_L2_F_45V-46V_1 | BnF_030_27,Javier | Paco | Arturo | Edna | Rodrigo,agn_marina | bnf_104 | bnf_112 | agn_indios | agi_guadalajara | bnf_030,14,0.6428571428571429,0.387644231039074,True
17,all_models,ALL_MODELS,puo,Abreviaturas,Expansión completa,17,6,4,5,puo,BNE_ms3047_4 | BnF_113_04 | BnF_267_03 | BnF_267_23 | AGN_Indios_v019_exp354_2 | BnF_111_20,Javier | Paco | Alba | Flor,bne_ms3047 | bnf_113 | bnf_267 | agn_indios | bnf_111,25,0.68,0.4841026927310224,True
18,all_models,ALL_MODELS,quios,Abreviaturas,Expansión completa,6,6,4,6,quios,AGN_AHHacienda_v1292_exp135 | BnF_032_36 | BnF_113_04 | BnF_030_21 | AGI_PATRONATO_182_R3_01 | AGN_Mercedes_v003_exp520,Javier | Paco | Edna | Alba,agn_ahhacienda | bnf_032 | bnf_113 | bnf_030 | agi_patronato | agn_mercedes,8,0.75,0.40927543031016894,True
19,all_models,ALL_MODELS,a,Filológicas - instrucciones,Regularización de H etimológica,9,6,4,6,a | A,BnF_032_23 | BnF_113_22 | BnF_111_20 | AGI_INDIFERENTE_2065_N45_09 | AGN_GralParte_v006_exp617_01 | BnF_030_27,Arturo | Paloma | Flor | Rodrigo,bnf_032 | bnf_113 | bnf_111 | agi_indiferente | agn_gralparte | bnf_030,17,0.5294117647058824,0.3096323506000443,True
