filename_stem,modernised_text_available,n_modernised_tokens,n_modernised_characters,n_modernised_characters_without_whitespace,n_modernised_lines,pre_modernisation_text_available,n_pre_modernisation_tokens,n_pre_modernisation_characters,n_pre_modernisation_characters_without_whitespace,n_pre_modernisation_lines,token_count_method,feature_status,token_count_change,character_count_change,token_count_change_pct,character_count_change_pct
AGI_CONTRATACION_1091_N3_098,True,180,853,663,35,True,180,858,667,35,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,0,-5,0.0,-0.5827505827505828
AGI_PATRONATO_182_R3_03,True,248,1381,1134,1,True,247,1316,1043,32,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,1,65,0.4048582995951417,4.939209726443769
AGN_AHHacienda_v1292_exp135,True,411,1926,1508,19,True,536,2494,1941,45,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-125,-568,-23.32089552238806,-22.77465918203689
AGN_Congregaciones_v001_exp076,True,374,2085,1713,1,True,397,2074,1660,48,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-23,11,-5.793450881612091,0.5303760848601736
AGN_IndiferenteVirreinal_caja4156_exp025,True,128,719,592,1,True,129,708,570,11,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-1,11,-0.7751937984496124,1.5536723163841808
AGN_Inquisicion_v1568A_exp152_fs115-116v_03,True,223,1261,1039,1,True,235,1279,1036,27,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-12,-18,-5.106382978723404,-1.4073494917904612
AGN_Marina_v004_exp006_014,True,70,386,322,1,True,71,385,314,16,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-1,1,-1.4084507042253522,0.2597402597402597
AGS_CE_RG_L379_01,True,83,484,400,12,True,85,463,374,16,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-2,21,-2.3529411764705883,4.535637149028078
BNE_ms3047_3,True,462,2625,2164,1,True,469,2566,2068,39,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-7,59,-1.4925373134328357,2.2992985190958692
BNE_ms3047_4,True,485,2812,2280,28,True,487,2744,2213,37,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-2,68,-0.41067761806981523,2.478134110787172
BP_CM_R481_071_3,True,47,272,226,1,True,51,246,194,7,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-4,26,-7.8431372549019605,10.569105691056912
BP_CM_R494_156_2,True,366,1981,1616,1,True,373,1957,1580,32,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-7,24,-1.876675603217158,1.2263668880940215
BnF_167_03,True,440,2363,1924,1,True,444,2363,1916,37,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-4,0,-0.9009009009009009,0.0
BnF_167_04,True,458,2510,2053,1,True,462,2484,2023,38,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-4,26,-0.8658008658008658,1.0466988727858293
BnF_174_02,True,306,1810,1505,1,True,314,1804,1490,32,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-8,6,-2.547770700636943,0.3325942350332594
BnF_174_06,True,641,3523,2883,1,True,670,3573,2901,67,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-29,-50,-4.328358208955224,-1.3993842709207949
BnF_283_12,True,553,3217,2665,1,True,571,3151,2574,53,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-18,66,-3.1523642732049035,2.0945731513805144
UIA_Ms149_Exp3_08,True,296,1731,1436,1,True,305,1694,1372,29,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-9,37,-2.9508196721311477,2.1841794569067297
utblac_eog_v_41_orig_10,True,15,70,56,1,True,14,70,55,2,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,1,0,7.142857142857142,0.0
utblac_eog_wbs_procesal_sample_01_10,True,191,1059,869,1,True,201,1057,854,33,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-10,2,-4.975124378109453,0.1892147587511826
AGI_CONTRATACION_1089_N8_151,True,304,1438,1135,1,True,309,1457,1140,37,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-5,-19,-1.6181229773462782,-1.3040494166094716
AGI_PATRONATO_182_R3_04,True,223,1202,968,31,True,223,1229,981,30,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,0,-27,0.0,-2.196908055329536
AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02,True,317,1832,1516,1,True,322,1816,1493,31,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-5,16,-1.5527950310559007,0.881057268722467
AGN_Marina_v031A_exp02_fs85-92_15,True,31,184,153,1,True,32,188,154,7,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-1,-4,-3.125,-2.127659574468085
AGN_Tierras_v2963_exp059_24,True,122,664,543,1,True,128,672,543,23,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-6,-8,-4.6875,-1.1904761904761905
BnF_030_22,True,383,2145,1763,1,True,396,2083,1675,35,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-13,62,-3.2828282828282833,2.9764762361977914
BnF_032_36,True,303,1507,1201,32,True,303,1507,1200,32,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,0,0,0.0,0.0
BnF_104_2,True,328,1612,1285,1,True,331,1601,1270,27,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-3,11,-0.906344410876133,0.6870705808869456
