filename_stem,filename,archive,reviewer,model
utblac_eog_v_41_orig_10,utblac_eog_v_41_orig_10_GT.txt,utblac_eog,1,Llama 3.3 70B · 12 000 TPM
AGS_CE_RG_L379_01,AGS_CE_RG_L379_01_GT.txt,ags_ce,1,GPT OSS 120B · 8 000 TPM
AGN_AHHacienda_v1292_exp135,AGN_AHHacienda_v1292_exp135_GT.txt,agn_ahhacienda,1,GPT OSS 120B · 8 000 TPM
AGN_Marina_v004_exp006_014,AGN_Marina_v004_exp006_014_GT.txt,agn_marina,1,GPT OSS 120B · 8 000 TPM
AGI_PATRONATO_182_R3_03,AGI_PATRONATO_182_R3_03_GT.txt,agi_patronato,1,Llama 3.3 70B · 12 000 TPM
AGN_Inquisicion_v1568A_exp152_fs115-116v_03,AGN_Inquisicion_v1568A_exp152_fs115-116v_03_GT.txt,agn_inquisicion,1,Llama 3.3 70B · 12 000 TPM
BNE_ms3047_3,BNE_ms3047_3_GT.txt,bne_ms3047,1,Llama 3.3 70B · 12 000 TPM
BnF_174_02,BnF_174_02_GT.txt,bnf_174,1,Llama 3.3 70B · 12 000 TPM
BNE_ms3047_4,BNE_ms3047_4_GT.txt,bne_ms3047,1,GPT OSS 120B · 8 000 TPM
AGN_Congregaciones_v001_exp076,AGN_Congregaciones_v001_exp076_GT.txt,agn_congregaciones,1,Llama 3.3 70B · 12 000 TPM
BP_CM_R481_071_3,BP_CM_R481_071_3_GT.txt,bp_cm,1,Llama 3.3 70B · 12 000 TPM
AGN_IndiferenteVirreinal_caja4156_exp025,AGN_IndiferenteVirreinal_caja4156_exp025_GT.txt,agn_indiferentevirreinal,1,Llama 3.3 70B · 12 000 TPM
BnF_283_12,BnF_283_12_GT.txt,bnf_283,1,Llama 3.3 70B · 12 000 TPM
AGI_CONTRATACION_1091_N3_098,AGI_CONTRATACION_1091_N3_098_GT.txt,agi_contratacion,1,GPT OSS 120B · 8 000 TPM
BnF_167_03,BnF_167_03_GT.txt,bnf_167,1,Llama 3.3 70B · 12 000 TPM
BnF_174_06,BnF_174_06_GT.txt,bnf_174,1,Llama 3.3 70B · 12 000 TPM
BnF_167_04,BnF_167_04_GT.txt,bnf_167,1,Llama 3.3 70B · 12 000 TPM
UIA_Ms149_Exp3_08,UIA_Ms149_Exp3_08_GT.txt,uia_ms149,1,Llama 3.3 70B · 12 000 TPM
utblac_eog_wbs_procesal_sample_01_10,utblac_eog_wbs_procesal_sample_01_10_GT.txt,utblac_eog,1,Llama 3.3 70B · 12 000 TPM
BP_CM_R494_156_2,BP_CM_R494_156_2_GT.txt,bp_cm,1,Llama 3.3 70B · 12 000 TPM
BnF_113_04,BnF_113_04_GT.txt,bnf_113,2,GPT OSS 120B · 8 000 TPM
