filename_stem,reviewer_packet,annotation_id,annotated_text,start,end,paragraph,document_id_internal,entity_position,error_code,error_category,field_code,subrule,rule_combination_valid,validation_issue,is_unique_mode,status,related_to,related_text,related_key,annotation_json_path,effective_error_code,effective_error_category,effective_field_code,effective_subrule,effective_rule_combination_valid,include_in_analysis,resolution_action,resolution_source,review_note,human_decision,corrected_error_code,corrected_field_code,invalid_combination_policy
AGI_CONTRATACION_1091_N3_098,1,1237,quinta,24,30,s1p4,19,1,e_6,Cambios,f_6663,Sustitución,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.ann.json,e_6,Cambios,f_6663,Sustitución,True,True,valid,automatic_validation,,,,,exclude_all
AGI_CONTRATACION_1091_N3_098,1,1238,sigue,46,51,s1p4,19,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGI_CONTRATACION_1091_N3_098,1,1239,Rs,49,51,s1p7,19,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGI_CONTRATACION_1091_N3_098,1,1240,mo,54,56,s1p7,19,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGI_CONTRATACION_1091_N3_098,1,1242,mil,44,47,s1p14,19,1,e_6,Cambios,f_662,Deleción,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.ann.json,e_6,Cambios,f_662,Deleción,True,True,valid,automatic_validation,,,,,exclude_all
AGI_CONTRATACION_1091_N3_098,1,1249,qo,55,57,s1p26,19,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGI_CONTRATACION_1091_N3_098,1,1250,ms,68,70,s1p26,19,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGI_CONTRATACION_1091_N3_098,1,1251,consdo,0,6,s1p32,19,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGI_PATRONATO_182_R3_03,1,934,gobierno,2,10,s1p1,20,1,e_6,Cambios,f_6663,Sustitución,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_PATRONATO_182_R3_03_GT_moderno.ann.json,e_6,Cambios,f_6663,Sustitución,True,True,valid,automatic_validation,,,,,exclude_all
AGI_PATRONATO_182_R3_03,1,936,con sí,610,616,s1p1,20,1,e_6,Cambios,f_6663,Sustitución,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_PATRONATO_182_R3_03_GT_moderno.ann.json,e_6,Cambios,f_6663,Sustitución,True,True,valid,automatic_validation,,,,,exclude_all
