filename_stem,filename,archive,reviewer_packet,model,annotation_json_path,modernised_txt_path,pre_modernisation_txt_path,annotations_legend_path,entities_legend_path,annotation_json_found,modernised_txt_found,pre_modernisation_txt_found,modernised_txt_in_export,annotations_legend_found,entities_legend_found,reviewer_name,modernised_text_available,n_modernised_tokens,n_modernised_characters,n_modernised_characters_without_whitespace,n_modernised_lines,pre_modernisation_text_available,n_pre_modernisation_tokens,n_pre_modernisation_characters,n_pre_modernisation_characters_without_whitespace,n_pre_modernisation_lines,token_count_method,feature_status,token_count_change,character_count_change,token_count_change_pct,character_count_change_pct,n_recorded_annotations,n_recorded_assignments,n_included_assignments,n_included_annotations,n_excluded_assignments,n_originally_invalid_assignments,n_corrected_assignments,n_accepted_invalid_assignments,review_data_status,included_annotations_per_1000_tokens,included_assignments_per_1000_tokens
utblac_eog_v_41_orig_10,utblac_eog_v_41_orig_10_GT.txt,utblac_eog,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/utblac_eog_v_41_orig_10_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/utblac_eog_v_41_orig_10_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/utblac_eog_v_41_orig_10/utblac_eog_v_41_orig_10_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,15,70,56,1,True,14,70,55,2,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,1,0,7.142857142857142,0.0,0,0,0,0,0,0,0,0,reviewed_no_annotations,0.0,0.0
AGS_CE_RG_L379_01,AGS_CE_RG_L379_01_GT.txt,ags_ce,1,GPT OSS 120B · 8 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGS_CE_RG_L379_01_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGS_CE_RG_L379_01_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGS_CE_RG_L379_01/AGS_CE_RG_L379_01_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,83,484,400,12,True,85,463,374,16,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-2,21,-2.3529411764705883,4.535637149028078,13,16,16,13,0,0,0,0,reviewed_with_annotations,156.6265060240964,192.7710843373494
AGN_AHHacienda_v1292_exp135,AGN_AHHacienda_v1292_exp135_GT.txt,agn_ahhacienda,1,GPT OSS 120B · 8 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,411,1926,1508,19,True,536,2494,1941,45,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-125,-568,-23.32089552238806,-22.77465918203689,52,54,54,52,0,0,0,0,reviewed_with_annotations,126.52068126520682,131.38686131386862
AGN_Marina_v004_exp006_014,AGN_Marina_v004_exp006_014_GT.txt,agn_marina,1,GPT OSS 120B · 8 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_Marina_v004_exp006_014_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_Marina_v004_exp006_014_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_Marina_v004_exp006_014/AGN_Marina_v004_exp006_014_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,70,386,322,1,True,71,385,314,16,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-1,1,-1.4084507042253522,0.2597402597402597,8,9,9,8,0,0,0,0,reviewed_with_annotations,114.28571428571428,128.57142857142856
AGI_PATRONATO_182_R3_03,AGI_PATRONATO_182_R3_03_GT.txt,agi_patronato,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_PATRONATO_182_R3_03_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_PATRONATO_182_R3_03_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGI_PATRONATO_182_R3_03/AGI_PATRONATO_182_R3_03_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,248,1381,1134,1,True,247,1316,1043,32,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,1,65,0.4048582995951417,4.939209726443769,2,2,2,2,0,0,0,0,reviewed_with_annotations,8.064516129032258,8.064516129032258
AGN_Inquisicion_v1568A_exp152_fs115-116v_03,AGN_Inquisicion_v1568A_exp152_fs115-116v_03_GT.txt,agn_inquisicion,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_Inquisicion_v1568A_exp152_fs115-116v_03_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_Inquisicion_v1568A_exp152_fs115-116v_03_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_Inquisicion_v1568A_exp152_fs115-116v_03/AGN_Inquisicion_v1568A_exp152_fs115-116v_03_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,223,1261,1039,1,True,235,1279,1036,27,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-12,-18,-5.106382978723404,-1.4073494917904612,13,13,13,13,0,0,0,0,reviewed_with_annotations,58.29596412556054,58.29596412556054
BNE_ms3047_3,BNE_ms3047_3_GT.txt,bne_ms3047,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BNE_ms3047_3_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BNE_ms3047_3_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/BNE_ms3047_3/BNE_ms3047_3_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,462,2625,2164,1,True,469,2566,2068,39,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-7,59,-1.4925373134328357,2.299298519095869,5,5,5,5,0,0,0,0,reviewed_with_annotations,10.822510822510822,10.822510822510822
BnF_174_02,BnF_174_02_GT.txt,bnf_174,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_174_02_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_174_02_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/BnF_174_02/BnF_174_02_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,306,1810,1505,1,True,314,1804,1490,32,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-8,6,-2.547770700636943,0.3325942350332594,18,18,18,18,0,0,0,0,reviewed_with_annotations,58.8235294117647,58.8235294117647
BNE_ms3047_4,BNE_ms3047_4_GT.txt,bne_ms3047,1,GPT OSS 120B · 8 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BNE_ms3047_4_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BNE_ms3047_4_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/BNE_ms3047_4/BNE_ms3047_4_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,485,2812,2280,28,True,487,2744,2213,37,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-2,68,-0.4106776180698152,2.478134110787172,56,56,56,56,0,0,0,0,reviewed_with_annotations,115.4639175257732,115.4639175257732
AGN_Congregaciones_v001_exp076,AGN_Congregaciones_v001_exp076_GT.txt,agn_congregaciones,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_Congregaciones_v001_exp076_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_Congregaciones_v001_exp076_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_Congregaciones_v001_exp076/AGN_Congregaciones_v001_exp076_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,374,2085,1713,1,True,397,2074,1660,48,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-23,11,-5.793450881612091,0.5303760848601736,3,3,3,3,0,0,0,0,reviewed_with_annotations,8.02139037433155,8.02139037433155
